"id","constructorId","name","fullName"
"kurtis-kraft-midget","kurtis-kraft","Midget","Kurtis Kraft Midget"
"kurtis-kraft","kurtis-kraft","Kurtis Kraft","Kurtis Kraft"
"kuzma-indy-roadster","kuzma","Indy Roadster","Kuzma Indy Roadster"
"lancia-d50","lancia","D50","Lancia D50"
"langley","langley","Langley","Langley"
"larrousse-lh93","larrousse","LH93","Larrousse LH93"
"larrousse-lh94","larrousse","LH94","Larrousse LH94"
"larrousse-lh95","larrousse","LH95","Larrousse LH95"
"lds-mk-1","lds","Mk 1","LDS Mk 1"
"lds-mk-2","lds","Mk 2","LDS Mk 2"
"lds-mk-3","lds","Mk 3","LDS Mk 3"
"lec-crp1","lec","CRP1","LEC CRP1"
"lesovsky","lesovsky","Lesovsky","Lesovsky"
"leyton-house-cg901","leyton-house","CG901","Leyton House CG901"
"leyton-house-cg911","leyton-house","CG911","Leyton House CG911"
"life-l190","life","L190","Life L190"
"ligier-js11-15","ligier","JS11/15","Ligier JS11/15"
"ligier-js11","ligier","JS11","Ligier JS11"
"ligier-js17","ligier","JS17","Ligier JS17"
"ligier-js17b","ligier","JS17B","Ligier JS17B"
"ligier-js19","ligier","JS19","Ligier JS19"
"ligier-js21","ligier","JS21","Ligier JS21"
"ligier-js23","ligier","JS23","Ligier JS23"
"ligier-js23b","ligier","JS23B","Ligier JS23B"
"ligier-js25","ligier","JS25","Ligier JS25"
"ligier-js27","ligier","JS27","Ligier JS27"
"ligier-js29b","ligier","JS29B","Ligier JS29B"
"ligier-js29c","ligier","JS29C","Ligier JS29C"
"ligier-js31","ligier","JS31","Ligier JS31"
"ligier-js33","ligier","JS33","Ligier JS33"
"ligier-js33b","ligier","JS33B","Ligier JS33B"
"ligier-js35","ligier","JS35","Ligier JS35"
"ligier-js35b","ligier","JS35B","Ligier JS35B"
"ligier-js37","ligier","JS37","Ligier JS37"
"ligier-js39","ligier","JS39","Ligier JS39"
"ligier-js39b","ligier","JS39B","Ligier JS39B"
"ligier-js41","ligier","JS41","Ligier JS41"
"ligier-js43","ligier","JS43","Ligier JS43"
"ligier-js5","ligier","JS5","Ligier JS5"
"ligier-js7-9","ligier","JS7/9","Ligier JS7/9"
"ligier-js7","ligier","JS7","Ligier JS7"
"ligier-js9","ligier","JS9","Ligier JS9"
"lola-lc87","lola","LC87","Lola LC87"
"lola-lc88","lola","LC88","Lola LC88"
"lola-lc88b","lola","LC88B","Lola LC88B"
"lola-lc89","lola","LC89","Lola LC89"
"lola-lc89b","lola","LC89B","Lola LC89B"
"lola-lc90","lola","LC90","Lola LC90"
"lola-lc91","lola","LC91","Lola LC91"
"lola-mk-4","lola","Mk 4","Lola Mk 4"
"lola-mk-4a","lola","Mk 4A","Lola Mk 4A"
"lola-t100","lola","T100","Lola T100"
"lola-t102","lola","T102","Lola T102"
"lola-t370","lola","T370","Lola T370"
"lola-t371","lola","T371","Lola T371"
"lola-t93-30","lola","T93/30","Lola T93/30"
"lola-t97-30","lola","T97/30","Lola T97/30"
"lola-thl1","lola","THL1","Lola THL1"
"lola-thl2","lola","THL2","Lola THL2"
"lotus-100t","lotus","100T","Lotus 100T"
"lotus-101","lotus","101","Lotus 101"
"lotus-102","lotus","102","Lotus 102"
"lotus-102b","lotus","102B","Lotus 102B"
"lotus-102d","lotus","102D","Lotus 102D"
"lotus-107","lotus","107","Lotus 107"
"lotus-107b","lotus","107B","Lotus 107B"
"lotus-107c","lotus","107C","Lotus 107C"
"lotus-109","lotus","109","Lotus 109"
"lotus-12","lotus","12","Lotus 12"
"lotus-16","lotus","16","Lotus 16"
"lotus-18-21","lotus","18/21","Lotus 18/21"
"lotus-18","lotus","18","Lotus 18"
"lotus-20","lotus","20","Lotus 20"
"lotus-21","lotus","21","Lotus 21"
"lotus-22","lotus","22","Lotus 22"
"lotus-24","lotus","24","Lotus 24"
"lotus-25","lotus","25","Lotus 25"
"lotus-33","lotus","33","Lotus 33"
"lotus-43","lotus","43","Lotus 43"
"lotus-44","lotus","44","Lotus 44"
"lotus-48","lotus","48","Lotus 48"
"lotus-49","lotus","49","Lotus 49"
"lotus-49b","lotus","49B","Lotus 49B"
"lotus-49c","lotus","49C","Lotus 49C"
"lotus-56b","lotus","56B","Lotus 56B"
"lotus-59b","lotus","59B","Lotus 59B"
"lotus-63","lotus","63","Lotus 63"
"lotus-69-special","lotus","69 Special","Lotus 69 Special"
"lotus-72b","lotus","72B","Lotus 72B"
"lotus-72c","lotus","72C","Lotus 72C"
"lotus-72d","lotus","72D","Lotus 72D"
"lotus-72e","lotus","72E","Lotus 72E"
"lotus-76","lotus","76","Lotus 76"
"lotus-77","lotus","77","Lotus 77"
"lotus-78","lotus","78","Lotus 78"
"lotus-79","lotus","79","Lotus 79"
"lotus-80","lotus","80","Lotus 80"
"lotus-81","lotus","81","Lotus 81"
"lotus-81b","lotus","81B","Lotus 81B"
"lotus-87","lotus","87","Lotus 87"
"lotus-87b","lotus","87B","Lotus 87B"
"lotus-88","lotus","88","Lotus 88"
"lotus-88b","lotus","88B","Lotus 88B"
"lotus-91","lotus","91","Lotus 91"
"lotus-92","lotus","92","Lotus 92"
"lotus-93t","lotus","93T","Lotus 93T"
"lotus-94t","lotus","94T","Lotus 94T"
"lotus-95t","lotus","95T","Lotus 95T"
"lotus-97t","lotus","97T","Lotus 97T"
"lotus-98t","lotus","98T","Lotus 98T"
"lotus-99t","lotus","99T","Lotus 99T"
"lotus-f1-e20","lotus-f1","E20","Lotus E20"
"lotus-f1-e21","lotus-f1","E21","Lotus E21"
"lotus-f1-e22","lotus-f1","E22","Lotus E22"
"lotus-f1-e23","lotus-f1","E23","Lotus E23 Hybrid"
"lotus-racing-t127","lotus-racing","T127","Lotus T127"
"lotus-racing-t128","lotus-racing","T128","Lotus T128"
"lyncar-006","lyncar","006","Lyncar 006"
"maki-f101","maki","F101","Maki F101"
"maki-f101c","maki","F101C","Maki F101C"
"maki-f102a","maki","F102A","Maki F102A"
"manor-mrt05","manor","MRT05","Manor MRT05"
"march-701","march","701","March 701"
"march-711","march","711","March 711"
"march-721","march","721","March 721"
"march-721g","march","721G","March 721G"
"march-721x","march","721X","March 721X"
"march-731","march","731","March 731"
"march-741","march","741","March 741"
"march-751","march","751","March 751"
"march-761","march","761","March 761"
"march-761b","march","761B","March 761B"
"march-771","march","771","March 771"
"march-781s","march","781S","March 781S"
"march-811","march","811","March 811"
"march-821","march","821","March 821"
"march-871","march","871","March 871"
"march-87p","march","87P","March 87P"
"march-881","march","881","March 881"
"march-cg891","march","CG891","March CG891"
"march-cg911b","march","CG911B","March CG911B"
"march-cg911c","march","CG911C","March CG911C"
"marchese-championship-racer","marchese","Championship Racer","Marchese Championship Racer"
"martini-mk23","martini","MK23","Martini MK23"
"marussia-mr01","marussia","MR01","Marussia MR01"
"marussia-mr02","marussia","MR02","Marussia MR02"
"marussia-mr03","marussia","MR03","Marussia MR03"
"marussia-mr03b","marussia","MR03B","Marussia MR03B"
"maserati-250f","maserati","250F","Maserati 250F"
"maserati-4cl","maserati","4CL","Maserati 4CL"
"maserati-4clt-48","maserati","4CLT/48","Maserati 4CLT/48"
"maserati-4clt-50","maserati","4CLT/50","Maserati 4CLT/50"
"maserati-8ctf","maserati","8CTF","Maserati 8CTF"
"maserati-a6gcm","maserati","A6GCM","Maserati A6GCM"
"matra-ms10","matra","MS10","Matra MS10"
"matra-ms11","matra","MS11","Matra MS11"
"matra-ms120","matra","MS120","Matra MS120"
"matra-ms120b","matra","MS120B","Matra MS120B"
"matra-ms120c","matra","MS120C","Matra MS120C"
"matra-ms120d","matra","MS120D","Matra MS120D"
"matra-ms5","matra","MS5","Matra MS5"
"matra-ms7","matra","MS7","Matra MS7"
"matra-ms80","matra","MS80","Matra MS80"
"matra-ms84","matra","MS84","Matra MS84"
"matra-ms9","matra","MS9","Matra MS9"
"mcguire-bm1","mcguire","BM1","McGuire BM1"
"mclaren-m14a","mclaren","M14A","McLaren M14A"
"mclaren-m14d","mclaren","M14D","McLaren M14D"
"mclaren-m19a","mclaren","M19A","McLaren M19A"
"mclaren-m19c","mclaren","M19C","McLaren M19C"
"mclaren-m23","mclaren","M23","McLaren M23"
"mclaren-m26","mclaren","M26","McLaren M26"
"mclaren-m28","mclaren","M28","McLaren M28"
"mclaren-m28b","mclaren","M28B","McLaren M28B"
"mclaren-m28c","mclaren","M28C","McLaren M28C"
"mclaren-m29","mclaren","M29","McLaren M29"
"mclaren-m29b","mclaren","M29B","McLaren M29B"
"mclaren-m29c","mclaren","M29C","McLaren M29C"
"mclaren-m29f","mclaren","M29F","McLaren M29F"
"mclaren-m2b","mclaren","M2B","McLaren M2B"
"mclaren-m30","mclaren","M30","McLaren M30"
"mclaren-m3a","mclaren","M3A","McLaren M3A"
"mclaren-m4b","mclaren","M4B","McLaren M4B"
"mclaren-m5a","mclaren","M5A","McLaren M5A"
"mclaren-m7a","mclaren","M7A","McLaren M7A"
"mclaren-m7b","mclaren","M7B","McLaren M7B"
"mclaren-m7c","mclaren","M7C","McLaren M7C"
"mclaren-m7d","mclaren","M7D","McLaren M7D"
"mclaren-m9a","mclaren","M9A","McLaren M9A"
"mclaren-mcl32","mclaren","MCL32","McLaren MCL32"
"mclaren-mcl33","mclaren","MCL33","McLaren MCL33"
"mclaren-mcl34","mclaren","MCL34","McLaren MCL34"
"mclaren-mcl35","mclaren","MCL35","McLaren MCL35"
"mclaren-mcl35m","mclaren","MCL35M","McLaren MCL35M"
"mclaren-mcl36","mclaren","MCL36","McLaren MCL36"
"mclaren-mcl38","mclaren","MCL38","McLaren MCL38"
"mclaren-mcl39","mclaren","MCL39","McLaren MCL39"
"mclaren-mcl60","mclaren","MCL60","McLaren MCL60"
"mclaren-mp4-1","mclaren","MP4/1","McLaren MP4/1"
"mclaren-mp4-10","mclaren","MP4/10","McLaren MP4/10"
"mclaren-mp4-10b","mclaren","MP4/10B","McLaren MP4/10B"
"mclaren-mp4-10c","mclaren","MP4/10C","McLaren MP4/10C"
"mclaren-mp4-11","mclaren","MP4/11","McLaren MP4/11"
"mclaren-mp4-11b","mclaren","MP4/11B","McLaren MP4/11B"
"mclaren-mp4-12","mclaren","MP4/12","McLaren MP4/12"
"mclaren-mp4-13","mclaren","MP4/13","McLaren MP4/13"
"mclaren-mp4-14","mclaren","MP4/14","McLaren MP4/14"
"mclaren-mp4-15","mclaren","MP4/15","McLaren MP4/15"
"mclaren-mp4-16","mclaren","MP4-16","McLaren MP4-16"
"mclaren-mp4-17","mclaren","MP4-17","McLaren MP4-17"
"mclaren-mp4-17d","mclaren","MP4-17D","McLaren MP4-17D"
"mclaren-mp4-19","mclaren","MP4-19","McLaren MP4-19"
"mclaren-mp4-19b","mclaren","MP4-19B","McLaren MP4-19B"
"mclaren-mp4-1b","mclaren","MP4/1B","McLaren MP4/1B"
"mclaren-mp4-1c","mclaren","MP4/1C","McLaren MP4/1C"
"mclaren-mp4-1e","mclaren","MP4/1E","McLaren MP4/1E"
"mclaren-mp4-2","mclaren","MP4/2","McLaren MP4/2"
"mclaren-mp4-20","mclaren","MP4-20","McLaren MP4-20"
"mclaren-mp4-21","mclaren","MP4-21","McLaren MP4-21"
"mclaren-mp4-22","mclaren","MP4-22","McLaren MP4-22"
"mclaren-mp4-23","mclaren","MP4-23","McLaren MP4-23"
"mclaren-mp4-24","mclaren","MP4-24","McLaren MP4-24"
"mclaren-mp4-25","mclaren","MP4-25","McLaren MP4-25"
"mclaren-mp4-26","mclaren","MP4-26","McLaren MP4-26"
"mclaren-mp4-27","mclaren","MP4-27","McLaren MP4-27"
"mclaren-mp4-28","mclaren","MP4-28","McLaren MP4-28"
"mclaren-mp4-29","mclaren","MP4-29","McLaren MP4-29"
"mclaren-mp4-2b","mclaren","MP4/2B","McLaren MP4/2B"
"mclaren-mp4-2c","mclaren","MP4/2C","McLaren MP4/2C"
"mclaren-mp4-3","mclaren","MP4/3","McLaren MP4/3"
"mclaren-mp4-30","mclaren","MP4-30","McLaren MP4-30"
"mclaren-mp4-31","mclaren","MP4-31","McLaren MP4-31"
"mclaren-mp4-4","mclaren","MP4/4","McLaren MP4/4"
"mclaren-mp4-5","mclaren","MP4/5","McLaren MP4/5"
"mclaren-mp4-5b","mclaren","MP4/5B","McLaren MP4/5B"
"mclaren-mp4-6","mclaren","MP4/6","McLaren MP4/6"
"mclaren-mp4-6b","mclaren","MP4/6B","McLaren MP4/6B"
"mclaren-mp4-7a","mclaren","MP4/7A","McLaren MP4/7A"
"mclaren-mp4-8","mclaren","MP4/8","McLaren MP4/8"
"mclaren-mp4-9","mclaren","MP4/9","McLaren MP4/9"
"mercedes-f1-w03","mercedes","F1 W03","Mercedes F1 W03"
"mercedes-f1-w04","mercedes","F1 W04","Mercedes F1 W04"
"mercedes-f1-w05","mercedes","F1 W05","Mercedes F1 W05 Hybrid"
"mercedes-f1-w06","mercedes","F1 W06","Mercedes F1 W06 Hybrid"
"mercedes-f1-w07","mercedes","F1 W07","Mercedes F1 W07 Hybrid"
"mercedes-f1-w08","mercedes","F1 W08","Mercedes F1 W08 EQ Power+"
"mercedes-f1-w09","mercedes","F1 W09","Mercedes F1 W09 EQ Power+"
"mercedes-f1-w10","mercedes","F1 W10","Mercedes F1 W10 EQ Power+"
"mercedes-f1-w11","mercedes","F1 W11","Mercedes F1 W11"
"mercedes-f1-w12","mercedes","F1 W12","Mercedes F1 W12"
"mercedes-f1-w13","mercedes","F1 W13","Mercedes F1 W13"
"mercedes-f1-w14","mercedes","F1 W14","Mercedes F1 W14"
"mercedes-f1-w15","mercedes","F1 W15","Mercedes F1 W15"
"mercedes-f1-w16","mercedes","F1 W16","Mercedes F1 W16"
"mercedes-mgp-w01","mercedes","MGP W01","Mercedes MGP W01"
"mercedes-mgp-w02","mercedes","MGP W02","Mercedes MGP W02"
"mercedes-w196","mercedes","W196","Mercedes W196"
"merzario-a1","merzario","A1","Merzario A1"
"merzario-a1b","merzario","A1B","Merzario A1B"
"merzario-a2","merzario","A2","Merzario A2"
"merzario-a4","merzario","A4","Merzario A4"
"meskowski","meskowski","Meskowski","Meskowski"
"midland-m16","midland","M16","Midland M16"
"minardi-m01","minardi","M01","Minardi M01"
"minardi-m02","minardi","M02","Minardi M02"
"minardi-m185","minardi","M185","Minardi M185"
"minardi-m185b","minardi","M185B","Minardi M185B"
"minardi-m186","minardi","M186","Minardi M186"
"minardi-m187","minardi","M187","Minardi M187"
"minardi-m188","minardi","M188","Minardi M188"
"minardi-m188b","minardi","M188B","Minardi M188B"
"minardi-m189","minardi","M189","Minardi M189"
"minardi-m190","minardi","M190","Minardi M190"
"minardi-m191","minardi","M191","Minardi M191"
"minardi-m191b","minardi","M191B","Minardi M191B"
"minardi-m192","minardi","M192","Minardi M192"
"minardi-m193","minardi","M193","Minardi M193"
"minardi-m193b","minardi","M193B","Minardi M193B"
"minardi-m194","minardi","M194","Minardi M194"
"minardi-m195","minardi","M195","Minardi M195"
"minardi-m195b","minardi","M195B","Minardi M195B"
"minardi-m197","minardi","M197","Minardi M197"
"minardi-m198","minardi","M198","Minardi M198"
"minardi-ps01","minardi","PS01","Minardi PS01"
"minardi-ps01b","minardi","PS01B","Minardi PS01B"
"minardi-ps02","minardi","PS02","Minardi PS02"
"minardi-ps03","minardi","PS03","Minardi PS03"
"minardi-ps04","minardi","PS04","Minardi PS04"
"minardi-ps04b","minardi","PS04B","Minardi PS04B"
"minardi-ps05","minardi","PS05","Minardi PS05"
"modena-291","modena","291","Lambo 291"
"moore","moore","Moore","Moore"
"nacke-hh48","nacke","HH48","Nacke HH48"
"nichels","nichels","Nichels","Nichels"
"olson-special","olson","Special","Olson Special"
"onyx-ore-1","onyx","ORE-1","Onyx ORE-1"
"onyx-ore-1b","onyx","ORE-1B","Onyx ORE-1B"
"osca-20","osca","20","OSCA 20"
"osca-4500g","osca","4500G","OSCA 4500G"
"osca-f2","osca","F2","OSCA F2"
"osella-fa1","osella","FA1","Osella FA1"
"osella-fa1b","osella","FA1B","Osella FA1B"
"osella-fa1c","osella","FA1C","Osella FA1C"
"osella-fa1d","osella","FA1D","Osella FA1D"
"osella-fa1e","osella","FA1E","Osella FA1E"
"osella-fa1f","osella","FA1F","Osella FA1F"
"osella-fa1g","osella","FA1G","Osella FA1G"
"osella-fa1h","osella","FA1H","Osella FA1H"
"osella-fa1i","osella","FA1I","Osella FA1I"
"osella-fa1l","osella","FA1L","Osella FA1L"
"osella-fa1m","osella","FA1M","Osella FA1M"
"osella-fa1me","osella","FA1ME","Osella FA1ME"
"pacific-pr01","pacific","PR01","Pacific PR01"
"pacific-pr02","pacific","PR02","Pacific PR02"
"pankratz-d","pankratz","D","Pankratz D"
"parnelli-vpj4","parnelli","VPJ4","Parnelli VPJ4"
"parnelli-vpj4b","parnelli","VPJ4B","Parnelli VPJ4B"
"pawl","pawl","Pawl","Pawl"
"penske-pc1","penske","PC1","Penske PC1"
"penske-pc3","penske","PC3","Penske PC3"
"penske-pc4","penske","PC4","Penske PC4"
"phillips","phillips","Phillips","Phillips"
"politoys-fx3","politoys","FX3","Politoys FX3"
"porsche-718","porsche","718","Porsche 718"
"porsche-787","porsche","787","Porsche 787"
"porsche-804","porsche","804","Porsche 804"
"porsche-rs550","porsche","RS550","Porsche RS550"
"porsche-rsk","porsche","RSK","Porsche RSK"
"prost-ap01","prost","AP01","Prost AP01"
"prost-ap02","prost","AP02","Prost AP02"
"prost-ap03","prost","AP03","Prost AP03"
"prost-ap04","prost","AP04","Prost AP04"
"prost-js45","prost","JS45","Prost JS45"
"protos-f2","protos","F2","Protos F2"
"racing-bulls-vcarb-02","racing-bulls","VCARB 02","Racing Bulls VCARB 02"
"racing-point-rp19","racing-point","RP19","Racing Point RP19"
"racing-point-rp20","racing-point","RP20","Racing Point RP20"
"rae","rae","Rae","Rae"
"ram-01","ram","01","RAM 01"
"ram-02","ram","02","RAM 02"
"ram-03","ram","03","RAM 03"
"rb-vcarb-01","rb","VCARB 01","RB VCARB 01"
"rebaque-hr100","rebaque","HR100","Rebaque HR100"
"red-bull-rb1","red-bull","RB1","Red Bull RB1"
"red-bull-rb10","red-bull","RB10","Red Bull RB10"
"red-bull-rb11","red-bull","RB11","Red Bull RB11"
"red-bull-rb12","red-bull","RB12","Red Bull RB12"
"red-bull-rb13","red-bull","RB13","Red Bull RB13"
"red-bull-rb14","red-bull","RB14","Red Bull RB14"
"red-bull-rb15","red-bull","RB15","Red Bull RB15"
"red-bull-rb16","red-bull","RB16","Red Bull RB16"
"red-bull-rb16b","red-bull","RB16B","Red Bull RB16B"
"red-bull-rb18","red-bull","RB18","Red Bull RB18"
"red-bull-rb19","red-bull","RB19","Red Bull RB19"
"red-bull-rb2","red-bull","RB2","Red Bull RB2"
"red-bull-rb20","red-bull","RB20","Red Bull RB20"
"red-bull-rb21","red-bull","RB21","Red Bull RB21"
"red-bull-rb3","red-bull","RB3","Red Bull RB3"
"red-bull-rb4","red-bull","RB4","Red Bull RB4"
"red-bull-rb5","red-bull","RB5","Red Bull RB5"
"red-bull-rb6","red-bull","RB6","Red Bull RB6"
"red-bull-rb7","red-bull","RB7","Red Bull RB7"
"red-bull-rb8","red-bull","RB8","Red Bull RB8"
"red-bull-rb9","red-bull","RB9","Red Bull RB9"
"reif","reif","Reif","Reif"
"renault-r202","renault","R202","Renault R202"
"renault-r23","renault","R23","Renault R23"
"renault-r23b","renault","R23B","Renault R23B"
"renault-r24","renault","R24","Renault R24"
"renault-r24b","renault","R24B","Renault R24B"
"renault-r25","renault","R25","Renault R25"
"renault-r26","renault","R26","Renault R26"
"renault-r27","renault","R27","Renault R27"
"renault-r28","renault","R28","Renault R28"
"renault-r29","renault","R29","Renault R29"
"renault-r30","renault","R30","Renault R30"
"renault-r31","renault","R31","Renault R31"
"renault-re20","renault","RE20","Renault RE20"
"renault-re20b","renault","RE20B","Renault RE20B"
"renault-re30","renault","RE30","Renault RE30"
"renault-re30b","renault","RE30B","Renault RE30B"
"renault-re30c","renault","RE30C","Renault RE30C"
"renault-re40","renault","RE40","Renault RE40"
"renault-re50","renault","RE50","Renault RE50"
"renault-re60","renault","RE60","Renault RE60"
"renault-re60b","renault","RE60B","Renault RE60B"
"renault-rs01","renault","RS01","Renault RS01"
"renault-rs10","renault","RS10","Renault RS10"
"renault-rs16","renault","R.S.16","Renault R.S.16"
"renault-rs17","renault","R.S.17","Renault R.S.17"
"renault-rs18","renault","R.S.18","Renault R.S.18"
"renault-rs19","renault","R.S.19","Renault R.S.19"
"renault-rs20","renault","R.S.20","Renault R.S.20"
"rial-arc1","rial","ARC1","Rial ARC1"
"rial-arc2","rial","ARC2","Rial ARC2"
"sauber-c12","sauber","C12","Sauber C12"
"sauber-c13","sauber","C13","Sauber C13"
"sauber-c14","sauber","C14","Sauber C14"
"sauber-c15","sauber","C15","Sauber C15"
"sauber-c16","sauber","C16","Sauber C16"
"sauber-c17","sauber","C17","Sauber C17"
"sauber-c18","sauber","C18","Sauber C18"
"sauber-c19","sauber","C19","Sauber C19"
"sauber-c20","sauber","C20","Sauber C20"
"sauber-c21","sauber","C21","Sauber C21"
"sauber-c22","sauber","C22","Sauber C22"
"sauber-c23","sauber","C23","Sauber C23"
"sauber-c24","sauber","C24","Sauber C24"
"sauber-c29","sauber","C29","Sauber C29"
"sauber-c30","sauber","C30","Sauber C30"
"sauber-c31","sauber","C31","Sauber C31"
"sauber-c32","sauber","C32","Sauber C32"
"sauber-c33","sauber","C33","Sauber C33"
"sauber-c34","sauber","C34","Sauber C34"
"sauber-c35","sauber","C35","Sauber C35"
"sauber-c36","sauber","C36","Sauber C36"
"sauber-c37","sauber","C37","Sauber C37"
"scarab-f1","scarab","F1","Scarab F1"
"schroeder","schroeder","Schroeder","Schroeder"
"scirocco-sp","scirocco","SP","Scirocco SP"
"shadow-dn1","shadow","DN1","Shadow DN1"
"shadow-dn11","shadow","DN11","Shadow DN11"
"shadow-dn12","shadow","DN12","Shadow DN12"
"shadow-dn3","shadow","DN3","Shadow DN3"
"shadow-dn3b","shadow","DN3B","Shadow DN3B"
"shadow-dn5","shadow","DN5","Shadow DN5"
"shadow-dn5b","shadow","DN5B","Shadow DN5B"
"shadow-dn7","shadow","DN7","Shadow DN7"
"shadow-dn8","shadow","DN8","Shadow DN8"
"shadow-dn9","shadow","DN9","Shadow DN9"
"shannon-sh1","shannon","SH1","Shannon SH1"
"sherman","sherman","Sherman","Sherman"
"simca-gordini-t11","simca-gordini","T11","Simca-Gordini T11"
"simca-gordini-t15","simca-gordini","T15","Simca-Gordini T15"
"simtek-s941","simtek","S941","Simtek S941"
"simtek-s951","simtek","S951","Simtek S951"
"snowberger","snowberger","Snowberger","Snowberger"
"spirit-101","spirit","101","Spirit 101"
"spirit-101c","spirit","101C","Spirit 101C"
"spirit-101d","spirit","101D","Spirit 101D"
"spirit-201","spirit","201","Spirit 201"
"spirit-201c","spirit","201C","Spirit 201C"
"spyker-f8-vii","spyker","F8-VII","Spyker F8-VII"
"spyker-f8-viib","spyker","F8-VIIB","Spyker F8-VIIB"
"stebro-mk-iv","stebro","Mk IV","Stebro Mk IV"
"stevens-ansted-special","stevens","Ansted Special","Stevens Ansted Special"
"stevens-belanger-indy-special","stevens","Belanger Indy Special","Stevens Belanger Indy Special"
"stevens-chapman-special","stevens","Chapman Special","Stevens Chapman Special"
"stevens","stevens","Stevens","Stevens"
"stewart-sf01","stewart","SF01","Stewart SF01"
"stewart-sf02","stewart","SF02","Stewart SF02"
"stewart-sf3","stewart","SF3","Stewart SF3"
"super-aguri-sa05","super-aguri","SA05","Super Aguri SA05"
"super-aguri-sa06","super-aguri","SA06","Super Aguri SA06"
"super-aguri-sa07","super-aguri","SA07","Super Aguri SA07"
"super-aguri-sa08","super-aguri","SA08","Super Aguri SA08"
"surtees-ts14","surtees","TS14","Surtees TS14"
"surtees-ts14a","surtees","TS14A","Surtees TS14A"
"surtees-ts16","surtees","TS16","Surtees TS16"
"surtees-ts19","surtees","TS19","Surtees TS19"
"surtees-ts20","surtees","TS20","Surtees TS20"
"surtees-ts7","surtees","TS7","Surtees TS7"
"surtees-ts9","surtees","TS9","Surtees TS9"
"surtees-ts9b","surtees","TS9B","Surtees TS9B"
"sutton","sutton","Sutton","Sutton"
"talbot-lago-t26c-da","talbot-lago","T26C-DA","Talbot-Lago T26C-DA"
"talbot-lago-t26c-gs","talbot-lago","T26C-GS","Talbot-Lago T26C-GS"
"talbot-lago-t26c","talbot-lago","T26C","Talbot-Lago T26C"
"tec-mec-f415","tec-mec","F415","Tec-Mec F415"
"tecno-pa123-3","tecno","PA123/3","Tecno PA123/3"
"tecno-pa123-6","tecno","PA123/6","Tecno PA123/6"
"tecno-tf69","tecno","TF69","Tecno TF69"
"theodore-n183","theodore","N183","Theodore N183"
"theodore-tr1","theodore","TR1","Theodore TR1"
"theodore-ty01","theodore","TY01","Theodore TY01"
"theodore-ty02","theodore","TY02","Theodore TY02"
"token-rj02","token","RJ02","Token RJ02"
"toleman-tg181","toleman","TG181","Toleman TG181"
"toleman-tg181b","toleman","TG181B","Toleman TG181B"
"toleman-tg181c","toleman","TG181C","Toleman TG181C"
"toleman-tg183","toleman","TG183","Toleman TG183"
"toleman-tg183b","toleman","TG183B","Toleman TG183B"
"toleman-tg184","toleman","TG184","Toleman TG184"
"toleman-tg185","toleman","TG185","Toleman TG185"
"toro-rosso-str1","toro-rosso","STR1","Toro Rosso STR1"
"toro-rosso-str10","toro-rosso","STR10","Toro Rosso STR10"
"toro-rosso-str11","toro-rosso","STR11","Toro Rosso STR11"
"toro-rosso-str12","toro-rosso","STR12","Toro Rosso STR12"
"toro-rosso-str13","toro-rosso","STR13","Toro Rosso STR13"
"toro-rosso-str14","toro-rosso","STR14","Toro Rosso STR14"
"toro-rosso-str2","toro-rosso","STR2","Toro Rosso STR2"
"toro-rosso-str2b","toro-rosso","STR2B","Toro Rosso STR2B"
"toro-rosso-str3","toro-rosso","STR3","Toro Rosso STR3"
"toro-rosso-str4","toro-rosso","STR4","Toro Rosso STR4"
"toro-rosso-str5","toro-rosso","STR5","Toro Rosso STR5"
"toro-rosso-str6","toro-rosso","STR6","Toro Rosso STR6"
"toro-rosso-str7","toro-rosso","STR7","Toro Rosso STR7"
"toro-rosso-str8","toro-rosso","STR8","Toro Rosso STR8"
"toro-rosso-str9","toro-rosso","STR9","Toro Rosso STR9"
"toyota-tf102","toyota","TF102","Toyota TF102"
"toyota-tf103","toyota","TF103","Toyota TF103"
"toyota-tf104","toyota","TF104","Toyota TF104"
"toyota-tf104b","toyota","TF104B","Toyota TF104B"
"toyota-tf105","toyota","TF105","Toyota TF105"
"toyota-tf105b","toyota","TF105B","Toyota TF105B"
"toyota-tf106","toyota","TF106","Toyota TF106"
"toyota-tf106b","toyota","TF106B","Toyota TF106B"
"toyota-tf107","toyota","TF107","Toyota TF107"
"toyota-tf108","toyota","TF108","Toyota TF108"
"toyota-tf109","toyota","TF109","Toyota TF109"
"trevis-indycar","trevis","Indycar","Trevis Indycar"
"trojan-t103","trojan","T103","Trojan T103"
"turner","turner","Turner","Turner"
"tyrrell-001","tyrrell","001","Tyrrell 001"
"tyrrell-002","tyrrell","002","Tyrrell 002"
"tyrrell-003","tyrrell","003","Tyrrell 003"
"tyrrell-004","tyrrell","004","Tyrrell 004"
"tyrrell-005","tyrrell","005","Tyrrell 005"
"tyrrell-006","tyrrell","006","Tyrrell 006"
"tyrrell-007","tyrrell","007","Tyrrell 007"
"tyrrell-008","tyrrell","008","Tyrrell 008"
"tyrrell-009","tyrrell","009","Tyrrell 009"
"tyrrell-010","tyrrell","010","Tyrrell 010"
"tyrrell-011","tyrrell","011","Tyrrell 011"
"tyrrell-011b","tyrrell","011B","Tyrrell 011B"
